place_id;name;zone;zona_cat;rating;total_reviews;price_level;rango_precio;primary_type;tipo_comida;calificacion_cat;sentimiento;cluster;cluster_label
ChIJB5P4RwSprI8RHhlqlOz7oVA;El Trapiche San Francisco;Bella Vista;Bella Vista;4.6;3033;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJRe3a6f6orI8RFVjm_xUtS7I;PriceSmart;Bella Vista;Bella Vista;4.5;13078;Desconocido;Medio ($$);store;Fast Food;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJ_YJXUuSorI8RLIXcheRp8ew;CONCOLON PANAMANIAN STREET FOOD;Bella Vista;Bella Vista;4.5;1639;Desconocido;Medio ($$);panamanian_restaurant;Panameña;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJ3woY1FmorI8R4JB0ab9s0QE;Palacio Lung Fung;Bella Vista;Bella Vista;4.5;6009;Moderado ($$);Medio ($$);chinese_restaurant;China;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJb8-lq_-prI8RSAAmaaTeuiE;Cantina del Tigre;Bella Vista;Bella Vista;4.5;1000;Desconocido;Medio ($$);restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJh_r4r_2orI8R7POqSrEns5I;Athanasiou | Obarrio;Bella Vista;Bella Vista;4.5;1907;Moderado ($$);Medio ($$);restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJa_2mxbiprI8RCwiiASDlhtc;Arrogante Panamá;Bella Vista;Bella Vista;4.5;496;Desconocido;Medio ($$);italian_restaurant;Italiana;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJRx94C_yorI8RJg10dFpksWI;Restaurante Napoli;Bella Vista;Bella Vista;4.5;5456;Moderado ($$);Medio ($$);italian_restaurant;Italiana;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJIwesavqorI8RD8JR0i9hGAg;El Trapiche;Bella Vista;Bella Vista;4.4;4086;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJQdcnkfqorI8RQIx8MbD0vFA;Riande Urban Hotel;Bella Vista;Bella Vista;4.3;1986;Desconocido;Medio ($$);hotel;Fusión;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJH5f2KOWprI8Rtcu1xopjtgA;La Arepería Panamá;Bella Vista;Bella Vista;4.3;340;Desconocido;Medio ($$);fast_food_restaurant;Fast Food;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJKSt6bwGprI8RBYc-duMpHPc;McDonald's Calle 50;Bella Vista;Bella Vista;4.2;3552;Económico ($);Económico ($);fast_food_restaurant;Fast Food;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJQ0UFyAOprI8RJxJ4A7wvjgI;Niko's Café;Bella Vista;Bella Vista;4.1;5849;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJF_RFYOWorI8RPYxhhoXqCeM;McDonald's Vía España;Bella Vista;Bella Vista;4;4123;Económico ($);Económico ($);fast_food_restaurant;Fast Food;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
